postcode,state,latitude,longitude,localities
4173,QLD,-27.47581,153.12063,3
4174,QLD,-27.45009,153.12942,2
4178,QLD,-27.42120,153.22577,8
4179,QLD,-27.39082,153.23404,3
4183,QLD,-27.54701,153.45174,5
4184,QLD,-27.67650,153.38466,7
4205,QLD,-27.68739,153.15629,1
4207,QLD,-27.73824,153.20173,24
4208,QLD,-27.76703,153.27631,8
4209,QLD,-27.80550,153.39289,5
4210,QLD,-27.93221,153.27948,5
4211,QLD,-28.03545,153.24126,19
4212,QLD,-27.87787,153.35772,7
4213,QLD,-28.11130,153.31792,7
4214,QLD,-27.96701,153.36558,7
4215,QLD,-27.96713,153.39795,8
4216,QLD,-27.83935,153.41941,10
4217,QLD,-28.00878,153.41220,13
4218,QLD,-28.03763,153.41692,14
4219,QLD,-28.11175,153.43420,1
4220,QLD,-28.08495,153.43441,7
4221,QLD,-28.12732,153.45837,2
4222,QLD,-27.55064,153.05223,1
4223,QLD,-28.19076,153.41509,4
4224,QLD,-28.15022,153.48933,2
4225,QLD,-28.16902,153.52053,5
4226,QLD,-28.06794,153.40282,5
4227,QLD,-28.10189,153.41039,2
4228,QLD,-28.18208,153.37739,3
4229,QLD,-28.07789,153.41314,1
4230,QLD,-28.07747,153.38531,1
4270,QLD,-27.86235,153.13557,2
4271,QLD,-27.91838,153.20147,1
4272,QLD,-27.95460,153.18684,3
4275,QLD,-28.10300,153.13794,16
4280,QLD,-27.81923,153.02043,8
4285,QLD,-28.04391,152.97113,36
4287,QLD,-28.25914,152.82297,6
4300,QLD,-27.68385,152.88605,14
4301,QLD,-27.62939,152.85809,4
4303,QLD,-27.60459,152.84019,3
4304,QLD,-27.62066,152.80457,9
4305,QLD,-27.62752,152.75370,25
4306,QLD,-27.48983,152.72797,64
4307,QLD,-27.85180,152.59240,7
4309,QLD,-27.98728,152.52337,18
4310,QLD,-28.12140,152.60060,28
4311,QLD,-27.41768,152.43812,18
4312,QLD,-27.25606,152.48264,13
4313,QLD,-27.08952,152.32154,13
4314,QLD,-26.86608,152.13839,18
4340,QLD,-27.80345,152.47270,18
4341,QLD,-27.68768,152.39666,16
4342,QLD,-27.54385,152.37769,6
4343,QLD,-27.65607,152.22462,24
4344,QLD,-27.57359,152.06363,14
4345,QLD,-27.54909,152.33638,1
4346,QLD,-27.56237,152.58823,1
4347,QLD,-27.65506,152.14270,5
4350,QLD,-27.57631,151.85269,52
4352,QLD,-27.62121,151.94711,79
4353,QLD,-27.25698,151.90458,4
4354,QLD,-27.34388,151.88792,3
4355,QLD,-27.18637,152.01761,17
4356,QLD,-27.66307,151.55027,18
4357,QLD,-27.95765,151.10387,26
4358,QLD,-27.72755,151.88120,6
4359,QLD,-27.79142,152.02470,7
4360,QLD,-27.85380,151.90704,1
4361,QLD,-27.96521,151.94828,16
4362,QLD,-28.04555,151.92468,10
4363,QLD,-27.67665,151.73970,1
4364,QLD,-27.71049,151.39618,1
4365,QLD,-28.01715,151.59753,1
4370,QLD,-28.21826,152.02906,49
4371,QLD,-28.19902,152.23424,3
4372,QLD,-28.30307,152.23309,1
4373,QLD,-28.30990,152.37666,3
4374,QLD,-28.40980,151.76521,2
4375,QLD,-28.52056,151.88844,3
4376,QLD,-28.54149,151.93378,1
4377,QLD,-28.56611,151.97930,3
4378,QLD,-28.61395,151.95549,1
4380,QLD,-28.68873,151.82536,25
4381,QLD,-28.75703,151.85504,2
4382,QLD,-28.83243,151.83224,6
4383,NSW,-28.92256,151.95889,2
4384,QLD,-28.72801,151.18321,1
4385,QLD,-28.77552,151.21459,11
4387,QLD,-28.34163,150.96784,9
4388,QLD,-28.50880,150.64626,2
4390,QLD,-28.22891,150.32102,10
4400,QLD,-27.48550,151.85630,1
4401,QLD,-27.46317,151.70291,17
4402,QLD,-26.97898,151.80397,3
4403,QLD,-27.32063,151.59696,6
4404,QLD,-27.33128,151.48067,4
4405,QLD,-27.29461,150.98444,22
4406,QLD,-27.29576,151.16037,14
4407,QLD,-27.56368,150.96198,4
4408,QLD,-26.83571,151.39305,3
4410,QLD,-26.74979,151.10227,6
4411,QLD,-26.90398,150.89467,2
4412,QLD,-26.83584,150.79881,2
4413,QLD,-26.54460,150.60793,25
4415,QLD,-26.62193,150.19330,10
4416,QLD,-26.99575,149.79804,7
4417,QLD,-27.34820,149.07017,7
4418,QLD,-26.29017,150.14332,1
4419,QLD,-26.04577,149.90168,7
4420,QLD,-25.44063,149.58437,14
4421,QLD,-27.32437,150.44430,2
4422,QLD,-27.72492,149.68200,5
4423,QLD,-27.38380,149.52538,3
4424,QLD,-26.59839,149.96027,3
4425,QLD,-26.64907,149.77314,2
4426,QLD,-26.53991,149.59043,3
4427,QLD,-26.75002,149.38194,4
4428,QLD,-26.40373,149.20649,4
4454,QLD,-25.54716,148.56527,13
4455,QLD,-26.73282,148.69023,20
4461,QLD,-26.66391,148.29388,1
4462,QLD,-26.46993,148.20838,3
4465,QLD,-26.68616,147.88782,9
4467,QLD,-26.30014,147.47153,4
4468,QLD,-26.25922,146.92743,3
4470,QLD,-26.40546,146.10728,8
4471,QLD,-27.63112,145.89216,2
4472,QLD,-24.78415,145.14118,2
4474,QLD,-25.66699,144.49528,1
4475,QLD,-26.84491,144.97537,1
4477,QLD,-26.22291,148.32457,4
4478,QLD,-24.88940,146.39941,10
4479,QLD,-26.72402,145.39750,1
4480,QLD,-26.24850,143.27416,2
4481,QLD,-25.37758,141.58127,3
4482,QLD,-25.60309,139.32327,1
4486,QLD,-28.61221,147.83012,2
4487,QLD,-27.93119,148.40851,2
4488,QLD,-28.07102,147.23432,4
4489,QLD,-27.25857,145.65574,1
4490,QLD,-28.41805,145.59626,11
4491,QLD,-27.91583,145.08366,1
4492,QLD,-28.02435,142.96690,9
4493,QLD,-28.94171,144.56036,1
4494,QLD,-28.14351,149.60655,3
4496,QLD,-28.36499,149.26797,3
4497,QLD,-28.64548,148.75358,3
4498,QLD,-28.41598,149.82470,2
4500,QLD,-27.30784,152.93944,11
4501,QLD,-27.27763,152.94620,1
4502,QLD,-27.26497,152.96681,2
4503,QLD,-27.24064,152.99319,7
4504,QLD,-27.18662,152.93208,1
4505,QLD,-27.14953,152.98599,3
4506,QLD,-27.12840,152.93629,2
4507,QLD,-26.98778,153.12414,9
4508,QLD,-27.18120,153.01372,1
4509,QLD,-27.22733,153.01557,2
4510,QLD,-26.45650,152.36142,12
4511,QLD,-27.07793,153.08080,3
4512,QLD,-27.02248,152.85831,3
